payoutDate,employee,fixedAmount,variableAmount,deductions
2023-01-15,65f6ecff78a4f53332cbf403,2000,500,100
2023-01-15,65f6ecff78a4f53332cbf404,2500,600,150
2023-01-15,65f6ecff78a4f53332cbf405,2200,550,120
2023-01-15,65f6ecff78a4f53332cbf406,2100,520,110
2023-01-15,65f6ecff78a4f53332cbf407,2300,560,130
2023-02-15,65f6ecff78a4f53332cbf408,2400,580,140
2023-02-15,65f6ecff78a4f53332cbf409,2600,620,160
2023-02-15,65f6ecff78a4f53332cbf40a,2800,640,180
2023-02-15,65f6ecff78a4f53332cbf40b,2700,630,170
2023-02-15,65f6ecff78a4f53332cbf40c,3000,670,200
2023-03-15,65f6ecff78a4f53332cbf40d,2900,660,190
2023-03-15,65f6ecff78a4f53332cbf40e,3100,680,210
2023-03-15,65f6ecff78a4f53332cbf40f,3200,700,220
2023-03-15,65f6ecff78a4f53332cbf410,3300,720,230
2023-03-15,65f6ecff78a4f53332cbf411,3400,740,240
2023-04-15,65f6ecff78a4f53332cbf412,3500,760,250
2023-04-15,65f6ecff78a4f53332cbf413,3600,780,260
2023-04-15,65f6ecff78a4f53332cbf414,3700,800,270
2023-04-15,65f6ecff78a4f53332cbf415,3800,820,280
2023-04-15,65f6ecff78a4f53332cbf416,3900,840,290
2023-05-15,65f6ecff78a4f53332cbf417,4000,860,300
2023-06-15,65f6ecff78a4f53332cbf417,4100,460,200
2022-12-15,65f6ecff78a4f53332cbf417,4900,960,500
2022-11-15,65f6ecff78a4f53332cbf417,5000,990,450
2023-11-15,65f6ecff78a4f53332cbf410,3600,770,200
2023-11-15,65f6ecff78a4f53332cbf411,3900,810,270
2023-12-15,65f6ecff78a4f53332cbf410,4100,860,290
2023-12-15,65f6ecff78a4f53332cbf411,4500,910,320
